Attrition;Age;Deplacements;Departement;DistanceDomicile;NiveauFormation;Genre;StatutMarital;AnnesDsEnt;AnneesPromo
Non;43;1;1;2;3;1;1;9;1
Non;37;1;1;8;2;1;2;10;4
Oui;26;1;1;20;2;2;3;5;1
Oui;31;1;1;18;5;1;3;1;0
Oui;29;1;1;13;3;1;2;2;2
Non;29;1;1;6;1;1;3;1;0
Non;55;1;1;26;4;1;3;10;1
Non;25;1;1;2;3;2;3;2;1
Non;35;1;1;26;4;2;1;9;1
Non;22;0;2;16;2;1;2;1;0
Non;24;0;2;11;2;2;2;4;1
Non;35;0;2;11;2;1;3;4;2
Non;38;0;2;6;3;2;2;13;1
Non;44;0;2;23;3;1;3;3;1
Non;37;0;2;2;2;1;2;1;0
Non;29;0;2;1;1;1;3;10;0
Non;27;0;2;9;3;1;2;2;2
Non;27;0;2;3;3;1;2;1;0
Non;30;0;2;9;3;1;2;12;6
Non;43;0;2;7;3;1;2;5;2
Non;45;0;2;2;2;1;3;20;11
Non;42;0;2;21;2;2;2;5;0
Non;49;0;2;18;4;1;2;7;1
Non;40;0;2;9;5;1;3;3;0
Non;30;0;2;1;1;1;1;11;5
Non;31;0;2;1;4;1;3;5;1
Non;25;0;2;5;2;1;2;6;1
Oui;47;0;2;29;4;1;3;10;9
Non;37;0;2;1;4;2;2;5;0
Non;36;0;2;24;4;2;3;9;0
Non;58;0;2;1;4;1;2;5;1
Non;46;0;2;7;4;2;3;1;0
Non;37;0;2;25;5;2;3;13;10
Non;30;0;2;3;3;1;3;5;1
Non;30;0;2;2;3;2;1;11;6
Non;41;0;2;2;4;2;1;8;0
Non;35;0;2;3;3;1;3;1;0
Non;36;0;2;8;3;2;3;8;0
Non;44;0;2;24;3;1;1;5;1
Non;35;0;2;2;4;2;2;1;0
Non;52;0;2;19;4;1;3;4;1
Non;24;0;2;9;3;1;2;1;0
Non;27;0;2;3;3;1;3;0;0
Non;32;0;2;1;3;1;2;3;0
Non;24;0;2;4;1;1;3;5;3
Non;50;0;2;2;4;1;2;31;14
Non;32;0;2;1;3;2;3;3;0
Non;45;0;2;4;2;1;3;9;0
Oui;31;0;2;9;2;1;1;3;1
Non;45;0;2;23;2;1;3;9;0
Non;18;0;2;5;2;1;1;0;0
Non;41;0;2;7;1;2;2;21;5
Non;32;0;2;29;4;2;1;8;7
Non;55;0;2;2;1;1;1;9;6
Oui;28;0;2;24;2;1;1;10;1
Non;27;0;2;8;5;1;3;3;1
Non;34;0;2;3;4;1;3;0;0
Non;48;0;2;1;4;1;1;5;2
Non;39;0;2;9;3;1;1;5;0
Non;36;0;2;18;4;1;1;11;0
Oui;18;0;2;8;1;1;1;0;0
Non;44;0;2;17;3;1;1;0;0
Oui;41;0;2;5;2;1;2;1;0
Oui;19;0;2;10;3;2;1;1;0
Non;55;0;2;8;1;1;2;33;15
Non;30;0;2;9;2;2;1;8;1
Non;28;0;2;1;3;2;3;9;7
Non;42;0;2;2;1;1;3;20;2
Non;40;0;2;16;2;1;2;4;0
Non;18;0;2;1;3;2;1;0;0
Non;34;0;2;26;1;2;2;5;0
Non;39;0;2;25;2;1;3;6;0
Non;37;0;2;5;2;1;1;6;1
Non;40;0;2;9;4;1;2;8;0
Oui;39;0;2;2;3;2;1;1;0
Non;40;0;2;8;1;1;2;9;4
Non;44;0;2;5;3;1;1;5;0
Non;30;0;2;7;3;1;2;1;0
Non;40;0;2;8;2;1;2;2;2
Non;32;0;2;1;4;1;3;6;1
Non;22;0;2;26;2;2;3;4;1
Non;35;0;2;8;4;2;3;14;2
Non;36;0;2;1;4;2;3;3;1
Non;26;0;2;7;3;1;1;7;5
Non;45;0;2;1;1;1;3;23;14
Non;39;0;2;1;3;1;3;9;5
Non;32;0;2;5;4;1;1;7;0
Non;33;0;2;4;3;1;2;9;1
Non;53;0;2;1;4;2;3;3;0
Non;35;0;2;2;2;1;2;7;1
Non;43;0;2;9;3;1;1;3;1
Non;18;0;2;14;3;2;1;0;0
Non;42;0;2;10;4;1;3;6;3
Oui;34;0;2;16;4;1;3;5;3
Non;47;0;2;14;4;1;3;8;1
Non;28;0;2;16;3;1;1;5;1
Non;31;0;2;3;2;1;2;4;2
Non;36;0;2;9;4;1;3;5;0
Non;32;0;2;15;4;2;2;5;1
Non;42;0;2;23;2;1;1;20;3
Non;31;0;2;10;3;2;3;11;4
Non;33;0;2;1;2;1;2;1;0
Non;47;0;2;1;1;2;3;13;5
Non;39;0;2;9;3;1;1;6;1
Non;56;0;2;1;4;1;2;13;1
Non;31;0;2;5;3;1;1;9;1
Non;49;2;2;8;1;1;3;10;1
Non;33;2;2;3;4;2;3;8;3
Non;32;2;2;2;2;1;1;7;3
Non;38;2;2;23;3;1;1;9;1
Oui;32;2;2;16;1;2;1;10;6
Non;30;2;2;1;2;2;1;12;3
Non;33;2;2;1;2;2;1;15;8
Non;38;2;2;29;5;2;1;10;9
Non;36;2;2;11;3;1;1;6;0
Non;35;2;2;1;3;1;3;3;1
Non;40;2;2;1;4;1;3;22;11
Non;46;2;2;1;3;1;3;10;9
Oui;20;2;2;6;3;2;1;1;1
Non;50;2;2;1;3;2;3;8;0
Non;51;2;2;1;4;2;1;13;12
Oui;34;2;2;7;3;1;1;9;0
Non;30;2;2;23;3;1;2;10;0
Non;43;2;2;28;3;2;1;3;1
Oui;51;2;2;8;4;1;1;4;0
Non;41;2;2;10;3;1;2;7;7
Non;40;2;2;26;3;2;2;20;2
Non;36;2;2;3;2;1;1;8;7
Non;34;2;2;2;1;1;3;10;1
Non;35;2;2;2;3;2;1;6;1
Non;27;2;2;1;1;1;3;2;2
Non;34;2;2;10;4;1;2;5;2
Non;36;2;2;18;1;2;1;8;1
Non;37;2;2;11;3;1;2;10;0
Non;31;2;2;3;4;1;2;2;2
Non;45;2;2;7;4;1;3;3;0
Oui;37;2;2;10;3;1;2;1;0
Non;39;2;2;2;4;2;1;19;11
Oui;31;2;2;29;2;1;1;5;1
Non;32;2;2;7;3;1;3;5;0
Non;26;2;2;1;3;2;2;6;1
Non;26;2;2;11;2;1;3;5;3
Oui;44;2;2;24;3;1;2;1;0
Non;49;2;2;10;4;2;1;3;1
Non;37;2;2;9;3;1;3;4;1
Non;36;2;2;18;4;1;3;1;0
Non;45;2;2;7;3;1;2;24;9
Non;33;2;2;5;4;2;3;10;8
Non;43;2;2;10;4;2;1;8;1
Non;31;2;2;7;2;2;3;10;8
Non;39;2;2;7;2;1;3;21;13
Non;43;2;2;10;4;2;2;9;0
Non;54;2;2;20;4;2;1;4;0
Oui;26;2;2;3;1;1;1;6;0
Oui;30;2;2;4;3;1;1;1;0
Non;43;2;2;21;3;1;3;3;1
Non;39;2;2;1;1;1;2;21;1
Non;42;2;2;29;2;2;2;5;0
Non;42;2;2;28;4;2;3;6;0
Non;38;2;2;2;2;1;3;1;0
Oui;31;2;2;20;3;1;3;1;0
Non;42;2;2;5;2;1;3;2;2
Oui;22;2;2;4;1;1;1;2;1
Non;39;2;2;8;1;2;3;8;0
Non;46;2;2;18;1;2;3;2;1
Oui;24;2;2;7;3;2;3;6;1
Non;43;2;2;9;5;1;2;8;4
Non;30;2;2;3;3;2;2;1;0
Non;33;2;2;6;3;1;2;13;4
Oui;33;2;2;3;3;1;1;10;9
Non;29;2;2;1;4;1;2;10;2
Non;27;2;2;10;2;1;2;9;1
Oui;42;2;2;19;3;1;2;2;2
Non;32;2;2;24;4;1;3;10;4
Non;26;2;2;1;2;2;2;2;2
Non;38;2;2;2;4;2;1;15;4
Non;40;2;2;2;2;2;3;8;3
Non;42;2;2;8;3;1;2;24;14
Non;40;2;2;16;4;1;1;1;0
Non;38;2;2;12;3;1;2;4;1
Non;34;2;2;16;4;2;1;5;1
Oui;26;2;2;5;2;2;3;8;1
Non;30;2;2;5;4;1;2;5;0
Non;52;2;2;25;4;2;3;9;0
Non;42;2;2;2;1;1;1;2;2
Oui;35;2;2;25;4;2;2;10;7
Non;43;2;2;1;3;2;3;5;2
Oui;58;2;2;2;1;1;2;1;0
Non;40;2;2;9;4;1;2;1;0
Non;47;2;2;16;4;1;2;19;2
Non;33;2;2;1;4;2;3;6;1
Non;41;2;2;9;3;1;2;18;0
Non;38;2;2;10;1;1;3;2;0
Non;31;2;2;1;1;2;3;4;0
Oui;30;2;2;5;3;2;1;3;1
Non;55;2;2;18;4;1;3;8;6
Non;39;2;2;22;3;2;1;21;2
Oui;26;2;2;2;3;1;3;3;1
Non;38;2;2;3;4;1;3;2;2
Non;26;2;2;1;1;2;2;5;1
Non;56;2;2;9;3;2;3;5;0
Non;55;2;2;2;1;1;3;3;1
Oui;33;2;2;29;4;2;1;13;3
Non;34;2;2;3;1;1;1;6;0
Oui;28;2;2;1;3;1;2;1;0
Non;43;2;2;27;3;2;3;8;0
Oui;39;2;2;2;3;1;2;18;11
Non;34;2;2;2;2;1;1;3;0
Non;29;2;2;10;3;2;2;7;1
Non;28;2;2;6;3;1;2;3;0
Oui;31;2;2;15;3;1;3;2;2
Non;40;2;2;9;4;2;1;18;2
Non;40;2;2;26;2;2;3;1;0
Non;34;2;2;1;3;1;1;13;4
Non;35;2;2;4;4;1;3;2;2
Oui;22;2;2;3;4;1;3;0;0
Non;50;2;2;2;3;2;3;2;2
Non;32;2;2;13;3;2;3;2;2
Non;32;2;2;2;2;2;1;8;0
Non;42;2;2;26;5;2;3;1;0
Non;54;2;2;1;4;2;2;5;1
Non;36;2;2;3;3;1;3;11;0
Oui;21;2;2;10;2;2;1;2;2
Non;34;2;2;19;3;2;2;11;5
Non;28;2;2;1;4;1;1;4;0
Non;28;2;2;2;3;1;3;2;2
Non;51;2;2;6;2;2;1;7;7
Non;45;2;2;25;3;2;1;0;0
Non;35;2;2;4;4;1;1;9;1
Non;38;2;2;7;3;1;2;4;0
Non;41;2;2;22;3;2;2;6;3
Non;52;2;2;28;2;2;3;5;0
Non;35;2;2;18;2;1;1;2;2
Oui;49;2;2;28;2;1;1;4;1
Oui;29;2;2;14;1;2;1;8;7
Non;34;2;2;1;4;1;2;4;1
Oui;31;2;2;1;5;2;1;10;4
Oui;31;2;2;2;3;1;3;2;2
Non;42;2;2;9;2;2;1;12;5
Non;34;2;2;15;3;1;2;14;6
Oui;24;2;2;9;3;1;1;0;0
Non;44;2;2;2;1;1;1;2;2
Oui;28;2;2;2;2;1;1;0;0
Non;29;2;2;2;1;2;3;3;0
Non;54;2;2;11;4;2;2;14;1
Oui;31;2;2;3;3;2;1;7;7
Non;50;2;2;22;5;1;1;32;13
Non;42;2;2;2;3;1;3;20;13
Non;29;2;2;2;1;1;2;6;1
Non;36;2;2;6;4;1;3;3;0
Non;34;2;2;10;4;1;3;8;7
Non;50;2;2;20;5;1;3;30;12
Non;34;2;2;10;4;1;2;9;7
Non;39;2;2;4;3;2;1;9;3
Non;48;2;2;4;5;1;3;2;2
Non;24;2;2;2;1;2;1;6;1
Non;27;2;2;2;3;1;1;4;1
Non;25;2;2;2;1;1;2;7;0
Non;38;2;2;1;3;1;3;13;2
Non;38;2;2;2;3;2;1;4;3
Non;35;2;2;2;4;1;1;5;1
Non;32;2;2;10;3;1;3;5;1
Non;31;2;2;24;1;2;1;5;1
Non;30;2;2;2;4;2;1;9;0
Non;29;2;2;1;3;1;1;3;0
Non;38;2;2;2;2;2;3;6;0
Oui;43;2;2;17;3;1;3;1;0
Oui;44;2;2;1;2;1;2;5;2
Oui;34;2;2;9;4;1;3;7;0
Non;58;2;2;15;4;1;3;2;2
Non;27;2;2;5;2;2;1;5;0
Non;29;2;2;20;1;1;3;11;3
Oui;29;2;2;24;2;1;1;1;1
Non;27;2;2;15;3;2;3;7;7
Non;48;2;2;22;3;2;2;22;4
Non;26;2;2;6;3;1;3;7;7
Non;45;2;2;1;4;1;1;4;0
Non;34;2;2;22;4;1;3;15;6
Non;38;2;2;8;3;2;2;20;0
Oui;32;2;2;5;2;2;1;4;0
Non;49;2;2;2;1;1;3;5;4
Non;31;2;2;1;3;1;3;10;8
Non;33;2;2;7;2;1;2;9;2
Non;40;2;2;11;3;2;3;10;9
Non;38;2;2;6;4;1;3;8;7
Non;36;2;2;4;2;2;2;4;0
Non;35;2;2;18;4;1;3;10;0
Non;36;2;2;23;2;1;3;5;0
Oui;37;1;2;2;2;1;1;0;0
Non;27;1;2;2;1;1;3;2;2
Non;59;1;2;3;3;2;3;1;0
Non;30;1;2;24;1;1;2;1;0
Non;36;1;2;27;3;1;3;7;7
Non;35;1;2;16;3;1;3;5;0
Non;29;1;2;15;2;2;1;9;0
Non;31;1;2;26;1;1;2;5;4
Non;34;1;2;19;2;1;2;2;1
Oui;28;1;2;24;3;1;1;4;0
Non;29;1;2;21;4;2;2;10;8
Non;32;1;2;5;2;1;2;6;0
Non;38;1;2;2;3;1;1;3;1
Non;34;1;2;7;4;2;1;12;2
Non;21;1;2;15;2;1;1;0;0
Oui;34;1;2;6;1;1;1;4;1
Non;53;1;2;5;3;2;2;14;4
Non;44;1;2;7;4;2;3;22;5
Non;33;1;2;2;3;1;1;1;0
Non;44;1;2;10;4;1;3;4;1
Non;30;1;2;9;2;1;1;10;1
Oui;24;1;2;1;3;1;3;2;2
Non;43;1;2;2;2;2;2;5;1
Non;36;1;2;5;4;2;3;1;0
Non;35;1;2;4;2;1;2;1;0
Non;27;1;2;2;4;2;2;1;0
Oui;26;1;2;25;3;1;1;1;0
Oui;41;1;2;12;3;2;3;22;15
Non;37;1;2;19;2;1;3;1;0
Non;35;1;2;8;1;1;3;1;0
Oui;48;1;2;1;2;1;1;1;0
Oui;28;1;2;5;4;1;1;2;2
Non;35;1;2;23;4;2;3;2;2
Non;31;1;2;7;4;1;2;7;1
Non;37;1;2;1;4;1;2;7;0
Non;32;1;2;1;3;1;3;9;7
Non;50;1;2;7;2;2;2;27;13
Non;36;1;2;8;3;2;2;17;12
Non;55;1;2;8;3;2;2;5;0
Non;45;1;2;7;3;1;2;1;0
Oui;36;1;2;9;3;1;3;1;0
Non;29;1;2;2;3;1;3;5;0
Non;31;1;2;1;4;1;1;1;1
Non;32;1;2;1;3;1;3;10;0
Non;36;1;2;6;3;2;3;1;0
Non;31;1;2;8;4;2;1;11;1
Non;45;1;2;6;4;1;3;0;0
Non;37;1;2;7;4;1;1;5;0
Non;30;1;2;1;1;1;3;10;3
Non;35;1;2;1;3;1;1;6;0
Non;34;1;2;1;2;1;3;5;1
Non;56;1;2;7;3;1;1;6;0
Non;51;1;2;9;4;1;3;4;0
Non;30;1;2;2;3;1;3;11;10
Non;54;1;2;2;4;2;3;4;0
Non;32;1;2;1;1;1;1;1;0
Non;34;1;2;6;4;2;1;16;2
Non;25;1;2;7;1;1;3;2;2
Non;22;1;2;15;3;2;1;0;0
Non;24;1;2;18;1;1;3;5;1
Non;34;1;2;6;4;2;2;1;0
Non;34;1;2;5;3;2;1;11;5
Non;36;1;2;3;2;2;2;1;0
Oui;56;1;2;14;4;2;3;5;4
Non;51;1;2;6;3;1;1;20;15
Non;26;1;2;6;3;2;3;5;4
Oui;58;1;2;23;4;2;3;40;15
Non;22;1;2;2;1;1;3;2;2
Non;49;1;2;20;4;2;3;15;5
Non;36;1;2;6;2;1;2;3;0
Oui;32;1;2;9;3;2;1;5;0
Non;45;1;2;29;3;1;1;6;0
Non;38;1;2;3;5;2;1;3;2
Non;30;1;2;18;3;2;1;5;0
Non;30;1;2;5;3;2;2;3;2
Non;30;1;2;2;1;1;1;5;1
Non;41;1;2;9;4;1;3;5;1
Non;19;1;2;3;1;2;1;1;0
Non;45;1;2;9;3;1;2;17;0
Non;51;1;2;7;4;1;3;1;0
Non;58;1;2;9;3;2;3;1;0
Non;22;1;2;19;1;1;3;2;2
Non;28;1;2;21;3;1;3;5;0
Non;57;1;2;24;2;1;2;5;1
Non;50;1;2;11;3;2;1;5;4
Non;41;1;2;14;3;1;2;9;1
Non;32;1;2;6;5;1;1;5;1
Non;27;1;2;17;3;1;3;5;1
Non;56;1;2;8;3;2;2;2;2
Non;33;1;2;2;3;1;1;3;0
Oui;19;1;2;2;3;1;1;1;1
Non;38;1;2;9;2;2;1;2;2
Non;31;1;2;12;1;2;3;4;0
Non;34;1;2;27;2;2;1;3;1
Non;50;1;2;1;3;1;3;3;0
Non;53;1;2;13;2;2;2;4;1
Non;33;1;2;14;3;2;3;8;1
Non;40;1;2;4;1;2;3;20;9
Non;55;1;2;14;4;1;1;24;2
Non;51;1;2;3;3;2;1;7;1
Non;52;1;2;1;4;1;3;33;11
Non;27;1;2;9;3;2;1;7;0
Oui;35;1;2;23;2;1;3;1;0
Non;37;1;2;21;3;1;3;8;1
Non;38;1;2;2;4;1;3;1;0
Non;38;1;2;29;3;1;3;7;1
Non;40;1;2;19;2;1;3;7;3
Oui;38;1;2;29;1;1;3;1;0
Non;22;1;2;5;3;1;2;4;2
Non;46;1;2;1;4;1;2;4;0
Non;51;1;2;8;4;1;3;10;4
Oui;30;1;2;3;3;2;1;5;0
Oui;29;1;2;1;3;1;1;6;1
Non;36;1;2;5;2;1;1;13;3
Non;33;1;2;4;4;2;3;3;1
Non;59;1;2;3;3;1;3;1;0
Oui;29;1;2;18;1;1;1;4;0
Non;52;1;2;2;3;2;1;2;2
Non;42;1;2;4;2;1;3;22;11
Oui;33;1;2;14;3;1;3;5;0
Oui;33;1;2;2;2;2;3;9;1
Oui;32;1;2;1;3;1;1;3;1
Non;39;1;2;1;4;2;2;3;1
Non;41;1;2;19;2;1;2;1;0
Non;40;1;2;24;2;1;2;9;4
Non;45;1;2;1;3;1;3;24;1
Non;33;1;2;5;4;2;3;2;0
Non;34;1;2;2;4;1;3;11;5
Non;37;1;2;1;2;2;3;3;0
Non;29;1;2;15;3;1;1;6;1
Non;42;1;2;17;2;2;1;3;0
Non;25;1;2;1;3;2;3;4;1
Non;42;1;2;2;3;2;2;9;7
Non;40;1;2;2;2;1;2;21;3
Non;51;1;2;1;3;1;3;1;0
Non;32;1;2;2;1;1;1;6;0
Oui;28;1;2;2;4;1;1;0;0
Non;31;1;2;23;3;1;3;9;7
Non;45;1;2;20;2;1;3;20;4
Non;36;1;2;6;3;1;3;15;10
Non;55;1;2;1;3;1;1;36;4
Non;28;1;2;9;3;1;3;5;0
Non;21;1;2;3;2;1;1;3;1
Non;35;1;2;22;3;2;2;7;6
Non;50;1;2;4;1;1;2;10;1
Non;53;1;2;3;4;1;3;5;1
Non;55;1;2;20;2;1;3;10;0
Non;37;1;2;1;3;2;1;17;5
Non;38;1;2;23;4;1;2;2;1
Oui;26;1;2;16;4;1;2;3;0
Non;28;1;2;8;2;2;1;5;0
Non;36;1;2;3;3;1;1;8;7
Oui;18;1;2;3;3;1;1;0;0
Non;51;1;2;2;3;1;2;4;1
Non;28;1;2;16;2;1;1;8;0
Non;39;1;2;1;3;1;2;18;3
Non;38;1;2;25;2;2;3;10;0
Non;31;1;2;5;4;1;3;5;0
Non;31;1;2;2;4;1;2;2;2
Non;39;1;2;10;1;1;3;21;11
Non;49;1;2;1;2;2;1;7;0
Oui;52;1;2;8;4;1;3;8;7
Non;27;1;2;5;3;2;1;4;1
Non;32;1;2;2;4;2;1;7;0
Oui;28;1;2;2;4;1;3;3;2
Non;30;1;2;28;2;2;3;10;1
Non;47;1;2;5;5;1;3;3;1
Non;43;1;2;7;3;2;3;1;0
Non;45;1;2;8;4;1;3;10;9
Oui;29;1;2;8;4;1;3;7;0
Non;29;1;2;9;5;1;1;3;2
Non;37;1;2;5;2;1;2;6;0
Non;38;1;2;15;2;1;2;11;2
Non;31;1;2;7;4;2;1;11;4
Non;35;1;2;5;4;1;1;16;0
Non;23;1;2;26;1;1;2;4;0
Non;41;1;2;6;3;1;1;5;1
Non;42;1;2;23;5;2;1;1;0
Non;32;1;2;2;3;2;3;8;0
Non;37;1;2;6;3;1;2;7;6
Non;42;1;2;2;4;1;1;1;0
Non;57;1;2;1;4;1;3;3;1
Non;40;1;2;10;4;2;3;7;1
Non;37;1;2;10;3;2;3;5;0
Non;50;1;2;10;3;1;1;4;1
Non;31;1;2;9;4;1;1;2;2
Non;29;1;2;23;3;1;1;3;1
Non;35;1;2;9;4;1;1;1;0
Non;27;1;2;1;2;1;2;5;0
Non;49;1;2;7;3;1;1;5;0
Non;36;1;2;2;3;2;3;2;2
Non;55;1;2;2;3;2;1;5;1
Non;22;1;2;11;3;2;3;2;1
Non;37;1;2;14;3;2;2;18;12
Non;42;1;2;1;4;2;2;5;1
Non;37;1;2;10;4;1;1;1;0
Non;43;1;2;12;3;1;2;25;3
Non;40;1;2;2;3;2;3;1;0
Non;54;1;2;5;2;1;3;4;1
Non;31;1;2;7;2;2;3;13;3
Non;43;1;2;8;4;2;2;5;0
Non;31;1;2;1;2;1;3;4;3
Non;28;1;2;17;2;1;2;10;1
Oui;25;1;2;3;3;1;3;2;0
Non;52;1;2;3;3;1;3;5;0
Non;45;1;2;10;2;1;3;2;0
Non;52;1;2;4;2;2;3;5;1
Non;30;1;2;2;3;2;1;5;0
Non;60;1;2;7;3;2;3;29;11
Non;46;1;2;18;3;2;2;10;0
Non;26;1;2;23;3;2;2;3;0
Non;29;1;2;3;4;1;3;10;0
Oui;29;1;2;25;5;2;3;2;1
Non;50;1;2;29;4;1;3;27;15
Non;47;1;2;2;2;2;2;5;0
Non;46;1;2;2;3;1;3;3;0
Non;35;1;2;22;3;1;1;5;4
Non;54;1;2;8;4;2;1;1;0
Non;34;1;2;2;4;1;2;7;5
Non;31;1;2;9;1;1;2;13;0
Oui;33;1;2;15;1;1;3;7;7
Oui;33;1;2;10;1;1;2;4;1
Non;35;1;2;16;3;1;3;8;0
Non;40;1;2;6;3;2;1;20;5
Non;42;1;2;24;3;1;3;10;5
Non;29;1;2;19;3;1;2;3;1
Non;33;1;2;1;5;2;2;6;0
Oui;26;1;2;24;3;1;1;1;0
Non;37;1;2;1;3;2;1;6;1
Non;52;1;2;6;2;1;2;10;6
Non;38;1;2;10;3;2;3;1;0
Non;37;1;2;1;4;2;3;6;4
Non;49;1;2;18;4;1;2;31;0
Non;24;1;2;23;3;1;3;6;1
Non;24;1;2;17;2;1;3;1;0
Non;34;1;2;1;2;1;3;6;1
Non;35;1;2;25;2;1;1;3;0
Non;27;1;2;6;4;2;2;5;0
Non;20;1;2;1;3;2;1;1;0
Non;42;1;2;2;4;2;3;10;2
Non;43;1;2;6;4;1;2;1;0
Non;38;1;2;1;1;2;1;0;0
Non;48;1;2;1;4;2;3;3;0
Non;44;1;2;3;4;1;3;2;0
Non;22;1;2;6;1;1;3;2;2
Non;32;1;2;9;4;2;3;6;0
Non;34;1;2;1;5;1;3;10;8
Non;26;1;2;6;3;2;3;3;0
Non;37;1;2;3;3;1;3;10;7
Non;35;1;2;6;4;1;1;17;11
Non;36;1;2;9;2;1;2;3;0
Non;27;1;2;3;4;1;1;4;1
Oui;20;1;2;10;1;1;1;1;1
Non;23;1;2;4;3;1;3;3;0
Non;37;1;2;10;2;1;1;1;0
Non;50;1;2;28;1;1;3;20;3
Non;34;1;2;9;3;2;1;8;7
Non;39;1;2;2;4;2;1;20;11
Non;38;1;2;1;4;2;1;9;1
Non;27;1;2;1;2;2;3;9;0
Non;32;1;2;3;2;2;1;7;7
Non;53;1;2;7;3;1;3;5;1
Oui;28;1;2;1;2;2;1;7;3
Non;38;1;2;1;3;2;1;1;0
Non;34;1;2;8;2;2;1;5;4
Non;23;1;2;9;1;1;3;4;0
Non;56;1;2;9;3;1;3;10;1
Non;40;1;2;2;1;2;1;4;2
Non;27;1;2;7;3;2;1;7;0
Non;53;1;2;6;3;1;1;2;2
Non;38;1;2;2;5;1;3;1;0
Non;34;1;2;8;5;2;2;0;0
Oui;33;1;2;1;4;1;1;10;7
Non;23;1;2;10;1;1;1;2;0
Oui;55;1;2;2;3;1;3;5;1
Non;29;1;2;27;3;2;3;8;1
Non;34;1;2;1;4;2;1;4;1
Non;54;1;2;19;4;2;2;5;1
Non;37;1;2;10;1;2;2;5;4
Non;34;1;2;2;4;2;1;6;1
Non;30;1;2;1;3;1;3;2;0
Oui;23;1;2;6;3;1;3;0;0
Non;52;1;2;11;4;2;3;5;1
Non;50;1;2;2;3;1;3;4;0
Oui;29;1;2;1;2;2;3;1;0
Non;33;1;2;7;3;1;3;13;3
Non;47;1;2;2;2;2;3;26;3
Non;36;1;2;1;3;2;3;9;0
Non;29;1;2;23;2;1;3;10;0
Oui;58;1;2;2;4;1;1;31;13
Non;35;1;2;1;4;2;1;2;2
Non;42;1;2;1;2;2;3;4;0
Oui;28;1;2;2;4;1;1;2;2
Non;32;1;2;4;3;2;3;14;6
Non;30;1;2;2;3;2;1;0;0
Non;45;1;2;2;3;2;1;1;0
Non;42;1;2;29;3;1;3;9;7
Non;43;1;2;14;2;1;3;4;1
Non;27;1;2;5;1;1;2;9;0
Non;35;1;2;7;3;1;1;8;1
Non;44;1;2;4;3;1;1;5;2
Non;25;1;2;2;1;1;1;4;0
Non;35;1;2;27;1;2;1;6;1
Non;32;1;2;8;2;2;3;5;1
Non;22;1;2;1;2;1;3;2;2
Non;44;1;2;8;4;1;3;3;0
Non;35;1;2;9;3;2;3;17;5
Non;49;1;2;1;3;2;3;4;0
Non;42;1;2;3;3;2;3;5;1
Non;31;1;2;11;4;1;3;6;0
Non;35;1;2;25;3;1;3;13;4
Non;53;1;2;23;4;2;1;12;3
Oui;32;1;2;25;4;1;1;1;0
